Team,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16,Wk17,Wk18,Team
ARI,@BUF,LAR,DET,WSH,@SF,@GB,LAC,@MIA,CHI,NYJ,BYE,@SEA,@MIN,SEA,NE,@CAR,@LAR,SF,ARI
ATL,PIT,@PHI,KC,NO,TB,@CAR,SEA,@TB,DAL,@NO,@DEN,BYE,LAC,@MIN,@LV,NYG,@WSH,CAR,ATL
BAL,@KC,LV,@DAL,BUF,@CIN,WSH,@TB,@CLE,DEN,CIN,@PIT,@LAC,PHI,BYE,@NYG,PIT,@HOU,CLE,BAL
BUF,ARI,@MIA,JAC,@BAL,@HOU,@NYJ,TEN,@SEA,MIA,@IND,KC,BYE,SF,@LAR,@DET,NE,NYJ,@NE,BUF
CAR,@NO,LAC,@LV,CIN,@CHI,ATL,@WSH,@DEN,NO,NYG^,BYE,KC,TB,@PHI,DAL,ARI,@TB,@ATL,CAR
CHI,TEN,@HOU,@IND,LAR,CAR,JAC+,BYE,@WSH,@ARI,NE,GB,MIN,@DET,@SF,@MIN,DET,SEA,@GB,CHI
CIN,NE,@KC,WSH,@CAR,BAL,@NYG,@CLE,PHI,LV,@BAL,@LAC,BYE,PIT,@DAL,@TEN,CLE,DEN,@PIT,CIN
CLE,DAL,@JAC,NYG,@LV,@WSH,@PHI,CIN,BAL,LAC,BYE,@NO,PIT,@DEN,@PIT,KC,@CIN,MIA,@BAL,CLE
DAL,@CLE,NO,BAL,@NYG,@PIT,DET,BYE,@SF,@ATL,PHI,HOU,@WSH,NYG,CIN,@CAR,TB,@PHI,WSH,DAL
DEN,@SEA,PIT,@TB,@NYJ,LV,LAC,@NO,CAR,@BAL,@KC,ATL,@LV,CLE,BYE,IND,@LAC,@CIN,KC,DEN
DET,LAR,TB,@ARI,SEA,BYE,@DAL,@MIN,TEN,@GB,@HOU,JAC,@IND,CHI,GB,BUF,@CHI,@SF,MIN,DET
GB,@PHI*,IND,@TEN,MIN,@LAR,ARI,HOU,@JAC,DET,BYE,@CHI,SF,MIA,@DET,@SEA,NO,@MIN,CHI,GB
HOU,@IND,CHI,@MIN,JAC,BUF,@NE,@GB,IND,@NYJ,DET,@DAL,TEN,@JAC,BYE,MIA,@KC,BAL,@TEN,HOU
IND,HOU,@GB,CHI,PIT,@JAC,@TEN,MIA,@HOU,@MIN,BUF,@NYJ,DET,@NE,BYE,@DEN,TEN,@NYG,JAC,IND
JAC,@MIA,CLE,@BUF,@HOU,IND,@CHI+,NE+,GB,@PHI,MIN,@DET,BYE,HOU,@TEN,NYJ,@LV,TEN,@IND,JAX
KC,BAL,CIN,@ATL,@LAC,NO,BYE,@SF,@LV,TB,DEN,@BUF,@CAR,LV,LAC,@CLE,HOU,@PIT,@DEN,KC
LAC,LV,@CAR,@PIT,KC,BYE,@DEN,@ARI,NO,@CLE,TEN,CIN,BAL,@ATL,@KC,TB,DEN,@NE,@LV,LAC
LAR,@DET,@ARI,SF,@CHI,GB,BYE,LV,MIN,@SEA,MIA,@NE,PHI,@NO,BUF,@SF,@NYJ,ARI,SEA,LAR
LV,@LAC,@BAL,CAR,CLE,@DEN,PIT,@LAR,KC,@CIN,BYE,@MIA,DEN,@KC,@TB,ATL,JAC,@NO,LAC,LV
MIA,JAC,BUF,@SEA,TEN,@NE,BYE,@IND,ARI,@BUF,@LAR,LV,NE,@GB,NYJ,@HOU,SF,@CLE,@NYJ,MIA
MIN,@NYG,SF,HOU,@GB,NYJ+,BYE,DET,@LAR,IND,@JAC,@TEN,@CHI,ARI,ATL,CHI,@SEA,GB,@DET,MIN
NE,@CIN,SEA,@NYJ,@SF,MIA,HOU,@JAC+,NYJ,@TEN,@CHI,LAR,@MIA,IND,BYE,@ARI,@BUF,LAC,BUF,NE
NO,CAR,@DAL,PHI,@ATL,@KC,TB,DEN,@LAC,@CAR,ATL,CLE,BYE,LAR,@NYG,WSH,@GB,LV,@TB,NO
NYG,MIN,@WSH,@CLE,DAL,@SEA,CIN,PHI,@PIT,WSH,@CAR^,BYE,TB,@DAL,NO,BAL,@ATL,IND,@PHI,NYG
NYJ,@SF,@TEN,NE,DEN,@MIN+,BUF,@PIT,@NE,HOU,@ARI,IND,BYE,SEA,@MIA,@JAC,LAR,@BUF,MIA,NYJ
PHI,GB*,ATL,@NO,@TB,BYE,CLE,@NYG,@CIN,JAC,@DAL,WSH,@LAR,@BAL,CAR,PIT,@WSH,DAL,NYG,PHI
PIT,@ATL,@DEN,LAC,@IND,DAL,@LV,NYJ,NYG,BYE,@WSH,BAL,@CLE,@CIN,CLE,@PHI,@BAL,KC,CIN,PIT
